Customer id,State, Last yr sales , Prior yr sales ,Life orders,Entry date,Cust type id
,,,,,,
210758,FL,87727,101263,299,2005-02-28,Gift Basket Home
245529,TX,78201,166193,59,2009-03-10,Gift Store
244773,IL,27240,68006,2573,2008-08-29,Florist
260066,NY,23086,22260,4,2016-03-01,Gift Packer
246871,NJ,22642,19978,134,2010-08-31,Florist
247823,PA,22400,24981,446,2011-09-22,Florist
247290,NJ,15278,10979,12,2011-01-10,UNK
246794,IN,14587,17141,150,2010-07-23,Gift Basket Store
246618,FL,14343,16109,136,2010-04-27,Gift Basket Store
280192,IL,14269,  -   ,12,2018-08-01,Gift Store
246848,GA,14135,14418,168,2010-08-23,Florist
251463,,13886,9138,14,2015-09-16,Gift Store
247590,GA,13462,16751,59,2011-06-27,UNK
230842,NY,12853,7571,22,2004-09-24,UNK
251754,FL,12614,8831,53,2015-12-08,WINERY
250848,OH,11636,19434,11,2014-11-03,Gift Basket 
237026,TX,11568,21626,500,2005-09-05,Gift Packer
247478,TN,11516,12371,150,2011-04-15,WINERY
240544,NJ,10903,11271,93,2006-06-26,Florist
249625,WI,10722,9138,35,2013-05-13,Gift Basket Store
246708,WI,10295,9845,107,2010-06-03,Gift Basket 
239308,IL,10077,7678,152,2006-01-05,Catalog
237932,IL,9907,18162,87,2005-09-05,Gift Basket Store
245646,FL,9063,5907,89,2009-05-05,Hotel
280202,TX,9056,  -   ,4,2018-08-09,Specialty Food Store
248757,IL,8703,8137,1813,2012-08-13,UNK
135549,MO,8335,11267,171,1999-12-06,Florist
280144,CA,8328,  -   ,7,2018-06-01,Gift Basket Store
244154,CA,8190,5325,27,2008-02-25,Gift Basket Store
248503,RI,7545,5163,35,2012-05-10,Gift Store
260049,SC,7521,7336,35,2016-02-19,Hotel
250766,FL,7228,6569,37,2014-10-09,Gift Basket Home
21648,IL,7022,6254,80,1995-06-13,Florist
250960,UT,6958,6975,7,2014-11-25,Florist
251521,OH,6633,7421,17,2015-10-14,WINE
250518,MI,6399,5044,25,2014-06-09,Grocery
247956,OH,6262,5172,59,2011-10-31,WINE
248750,NC,6124,2263,41,2012-08-06,Florist
270251,MI,6077,7438,17,2017-07-20,Gift Basket Home
210554,NY,6010,9480,60,2005-04-08,Gift Basket Home
247644,RI,5981,3775,28,2011-07-27,Liquor
247168,MO,5964,5295,39,2010-11-23,Florist
217718,PA,5812,5149,89,2001-11-01,WINERY
220731,NJ,5703,4106,41,2002-05-28,Gift Store
244890,FL,5446,6580,14,2008-09-23,Gift Store
260611,FL,5376,396,13,2016-12-15,Gift Basket Store
280200,NJ,5360,  -   ,8,2018-08-09,WINE
247965,NY,5324,5238,66,2011-11-01,Gift Basket Store
209648,OH,5023,3248,75,2005-02-28,Liquor
231208,NC,5012,6717,141,2004-10-28,Gift Basket Home
245695,AR,5000,8381,126,2009-06-03,Gift Basket Store
270301,OR,4864,3818,11,2017-08-23,Gift Basket Home
249873,VA,4747,4623,41,2013-10-02,WINE
245747,FL,4734,1406,9,2009-06-23,Gift Basket Home
248784,PA,4645,4826,36,2012-08-23,Gift Basket Home
244659,VA,4609,2210,79,2008-08-05,UNK
247115,MI,4592,3869,22,2010-11-11,Liquor
260267,NC,4497,5373,32,2016-08-03,Gift Basket Store
236397,IN,4279,2595,118,2005-09-02,RR
206838,IL,4269,5401,78,1999-07-28,UNK
241547,WA,4248,  -   ,3,2006-10-17,Florist
249735,ID,4215,10428,66,2013-07-08,Gift Basket Home
42565,TX,4199,7082,87,1996-10-07,Florist
260320,IN,4068,2629,27,2016-09-06,Gift Basket Home
280353,UT,3976,  -   ,5,2018-11-05,Gift Basket Store
235717,IN,3941,2022,30,2005-09-02,Gift Basket 
246583,AR,3899,8877,59,2010-04-07,UNK
246856,KY,3881,4859,24,2010-08-24,Florist
243508,NH,3853,5362,84,2007-10-22,Gift Basket Store
270363,MD,3846,796,11,2017-10-16,Gift Basket Home
243242,GA,3841,  -   ,14,2007-09-12,Gift Basket Home
249838,MO,3790,1878,18,2013-09-10,Gift Basket 
210422,GA,3780,3463,19,2005-02-28,Gift Basket Home
214076,WA,3689,7386,128,2001-01-26,Gift Basket 
247553,FL,3658,1845,10,2011-05-27,Gift Basket Store
251759,FL,3643,2748,3,2015-12-10,Gift Basket Store
260037,TX,3622,4632,21,2016-02-02,Florist
248067,FL,3607,4451,21,2011-11-29,Gift Basket Home
280203,PA,3586,  -   ,3,2018-08-09,Gift Basket Store
196119,GA,3519,1447,24,1998-09-23,Gift Basket Home
260090,SC,3517,3795,41,2016-03-21,Hotel
260542,NY,3510,1282,5,2016-11-28,Florist
247639,MD,3484,864,26,2011-07-25,Gift Store
249232,WI,3473,3100,28,2012-12-04,Gift Basket Store
280031,NE,3466,  -   ,11,2018-01-23,Gift Store
251206,AZ,3460,6101,34,2015-03-16,WINERY
270526,UT,3397,274,11,2017-12-21,Gift Basket Home
250838,FL,3348,1912,36,2014-10-28,Gift Store
260285,NJ,3339,3734,8,2016-08-15,Florist
249038,CA,3316,3737,5,2012-10-30,EVENT
248701,MO,3295,7873,110,2012-08-02,UNK
251494,NJ,3292,2598,15,2015-10-01,WINE
28739,CT,3247,597,6,1995-08-21,Florist
50294,FL,3223,3206,77,1997-11-11,Florist
28453,CO,3209,2937,129,1995-08-09,Florist
220877,TN,3204,6258,93,2002-06-14,Gift Packer
221894,OH,3203,3445,74,2002-09-11,Gift Basket Home
227748,NJ,3182,2285,42,2003-10-22,Liquor
247064,NY,3175,500,13,2010-10-29,Gift Basket Store
248569,IL,3161,658,39,2012-06-13,Gift Basket Home
250049,NJ,3047,3067,13,2013-11-18,Gift Basket 
280349,IL,2999,  -   ,1,2018-11-02,Tax Exempt Charity 
260442,PR,2998,  -   ,5,2016-10-31,Florist
239189,CO,2984,2838,38,2005-12-15,Gift Basket Home
251243,SC,2970,2481,34,2015-04-13,Hotel
270527,PA,2941,  -   ,7,2017-12-27,Gift Basket Store
251503,FL,2933,2900,30,2015-10-06,WINERY
260383,PA,2930,2024,5,2016-10-06,Gift Basket Home
246094,MS,2914,2053,9,2009-10-19,Specialty Food Store
28333,NJ,2895,1446,40,1995-08-08,Gift Basket Home
239135,NY,2890,3423,32,2005-12-08,Gift Basket Store
